IU Barcode,MDPI Barcode,Title(s) on Media,Series Title(s),Series Part(s),Country(s) of Origin,Title(s) Summary,Title(s) Original Identifiers,Title(s) Publishers,Title(s) Creators,Title(s) Genres,Title(s) Forms,Title(s) Dates,Title(s) Locations,Title(s) Notes,Title(s) Subject,Title(s) Name Authority,IUCat Title Control Number(s),Catalog Key(s),Alternative Title(s),Media Type,Medium,Version,Unit,Collection,Gauge,Generation,Generation Notes,Can Size,Footage,Duration,Reel Dates,Base,Stock,Original Identifiers,Reel Number,Multiple Items in Can,Picture Type,Frame Rate,Color,Aspect Ratio,Anamorphic,Sound,Captions/Subtitles,Format Type,Content Type,Sound Field,Track Count,Languages,Format Notes,Accompanying Documentation,Accompanying Documentation Location,Overall Condition,Condition Notes,Research Value,Research Value Notes,AD Strip,Shrinkage,Mold,Conditions,Missing Footage,Miscellaneous,Conservation Actions
30000149833521,,Tools of Production,"","","", | Mag track only.,"",Frink Film Studio [TBD],"","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"Negative, B Roll",,800,,,,"","",,,No,"",,"","",,,No,"","","",,,,"Yes, wrapped in paper",,,,,,1.0,,,,,,Recanned
30000149833570,,Tools of Production,"","","", | Mag track only.,"",Frink Film Studio [TBD],"","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"Negative, Intermediate",,800,,,,"","",,,No,"",,Color,"",,,No,"","","",,,,"Yes, wrapped in paper",,,,,,1.0,,,,,,Recanned
30000149834255,,Design for a Decade,"","","","","","Frink Film Studio [TBD], DePauw [TBD]","","","",1966 [TBD],"","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,B Roll,,800,,,,"","",82371,,No,"",,Eco,"",,,No,"","","",,,,,,,,,,1.0,,,,,,Recanned
30000149834263,,Design for a Decade,"","","","","","Frink Film Studio [TBD], DePauw [TBD]","","","",1966 [TBD],"","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,A Roll,,800,,,,"","",82371,,No,"",,Eco,"",,,No,"","","",,,,,,,,,,1.0,,,,,,Recanned
30000149834347,,Sullair,"","","","","",Frink Film Studio [TBD],"","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"",,800,,,,"","",37046,,No,"",,Eco,"",,,No,"","","",,,,,,,,,,1.0,,,,,,Recanned
30000149834370,,[Untitled Frink],"","","","","","","","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"",,800,,,,"","",,,No,"",,"","",,,No,"","","",,,,,,,,,,1.0,,,,,,Recanned
30000149839320,,Urban Renewal,"","","","","",Frink Film Studio [TBD],"","","",1961/09/06 [TBD],"","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"",,800,,,,"","",1N 61-67,,No,"",,"","",,,No,"","","",,,,,,,,,,1.0,,,,,,Recanned
30000149839346,,Ear and Music,"","","","","",Frink Film Studio [TBD],"","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"Work Print, A Roll",,800,,,,"","",,,No,"",,"","",,,No,"","","",,,,,,,,,,1.0,,,,,,Recanned
30000149839353,,Urban Renewal,"","","","","",Frink Film Studio [TBD],"","","",1961/09/06 [TBD],"","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,A Roll,,800,,,,"","",R 61-67,,No,"",,"","",,,No,"","","",,,,,,,,,,1.0,,,,,,Recanned
30000149839361,,Urban Renewal,"","","","","",Frink Film Studio [TBD],"","","",1961/09/06 [TBD],"","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,B Roll,,800,,,,"","",R 61-67,,No,"",,"","",,,No,"","","",,,,,,,,,,1.0,,,,,,Recanned
30000149839387,,No Title,"","","","","",Frink Film Studio [TBD],"","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,A Roll,,800,,,,"","",DN 60-49,,No,"",,"","",,,No,"","","",,,,,,,,,,1.0,,,,,,Recanned
30000149839452,,Marble Race,"","","","","",Frink Film Studio [TBD],"","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"Negative, A Roll",,800,,,,"","",,,Yes,"",,"","",,,No,"","","",,,Elements,,,,,,,1.0,,,,,4 reels,Recanned
30000149806741,,Chicago,"","","","","","","","","",1963 [TBD],"","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"",,800,,,,"","",,,No,"",,"","",,,No,"","","",,,,,,,,,,1.5,,,,,,Recanned
30000149831954,,DePauw Design for a Decade,"","","","","","","","","",1964 [TBD],"","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"",,800,,,,"","",,,No,"",,"","",,,No,"","","",,,,"Two notes attached to reel: Reel XIX Special Convocation 28-30. Sc 28, 30 special convocation Reel XX",,,,,,1.5,,,,,,Recanned
30000149820478,,WF | Mishawaka R&D tests ship hull bottom cleaner,"","","","","","","","","",1974 [TBD],"","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"",,800,,,,"","",,,No,"",,"","",,,No,"","","",,,,,,,,,,1.5,,,,,,Recanned
30000149839379,,City Planning,"","","","","",Frink Film Studio [TBD],"","","",1981 [TBD],"","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"",,800,,,,"","",,,No,"",,"","",,,No,"","","",,,,,,,,,,1.5,,,,,,Placed in can
30000149784302,,Shurfine Independents Day,"","","","","","","","","",1966/08/25 [TBD],"",Overs | mag edge track revised final mix | Overs,"","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"",,800,,,,"","",1214,,No,"",,"","",,,No,"","","",,,,"yes, with notes on how this track is to be used in editing","Box 6, Folder 008",,,,,1.5,,,,,,Recanned
30000149805354,,Wheelabrator,"","",""," | Wheelabrator opening, tools of industry... industrial scene, helicopter, etc. Film and mag wound on same core.","",Frink Film Studio [TBD],"","","","1971/09 [TBD], 1967/05/01 [TBD], 1967/04/28 [TBD]","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"Negative, Outs and Trims",,800,,,,"","",,,No,"",,"","",,,No,"","","",,,Outs,,,,,,,1.5,,,,,,Recanned
